Permission,Domain,Purpose,Scope,Notes
platform.tenant.manage,CORE,Defined by domain spec,scope-aware,deny by default
organization.read,CORE,Defined by domain spec,scope-aware,deny by default
organization.manage,CORE,Defined by domain spec,scope-aware,deny by default
configuration.read,CORE,Defined by domain spec,scope-aware,deny by default
configuration.publish,CORE,Defined by domain spec,scope-aware,deny by default
audit.read,CORE,Defined by domain spec,scope-aware,deny by default
task.manage,CORE,Defined by domain spec,scope-aware,deny by default
iam.user.manage,IAM,Defined by domain spec,scope-aware,deny by default
iam.role.manage,IAM,Defined by domain spec,scope-aware,deny by default
iam.permission.manage,IAM,Defined by domain spec,scope-aware,deny by default
iam.session.revoke,IAM,Defined by domain spec,scope-aware,deny by default
iam.security.read,IAM,Defined by domain spec,scope-aware,deny by default
mdm.read,MDM,Defined by domain spec,scope-aware,deny by default
mdm.create,MDM,Defined by domain spec,scope-aware,deny by default
mdm.merge,MDM,Defined by domain spec,scope-aware,deny by default
mdm.steward,MDM,Defined by domain spec,scope-aware,deny by default
product.read,PIM,Defined by domain spec,scope-aware,deny by default
product.manage,PIM,Defined by domain spec,scope-aware,deny by default
product.barcode.manage,PIM,Defined by domain spec,scope-aware,deny by default
product.publish,PIM,Defined by domain spec,scope-aware,deny by default
pricing.read,CPQ,Defined by domain spec,scope-aware,deny by default
pricing.manage,CPQ,Defined by domain spec,scope-aware,deny by default
pricing.override,CPQ,Defined by domain spec,scope-aware,deny by default
quote.read,CPQ,Defined by domain spec,scope-aware,deny by default
quote.create,CPQ,Defined by domain spec,scope-aware,deny by default
quote.approve,CPQ,Defined by domain spec,scope-aware,deny by default
crm.read,CRM,Defined by domain spec,scope-aware,deny by default
crm.manage,CRM,Defined by domain spec,scope-aware,deny by default
crm.credit.read,CRM,Defined by domain spec,scope-aware,deny by default
crm.customer.approve,CRM,Defined by domain spec,scope-aware,deny by default
commerce.use,COM,Defined by domain spec,scope-aware,deny by default
pos.use,COM,Defined by domain spec,scope-aware,deny by default
pos.manage,COM,Defined by domain spec,scope-aware,deny by default
loyalty.manage,COM,Defined by domain spec,scope-aware,deny by default
order.read,OMS,Defined by domain spec,scope-aware,deny by default
order.create,OMS,Defined by domain spec,scope-aware,deny by default
order.confirm,OMS,Defined by domain spec,scope-aware,deny by default
order.hold,OMS,Defined by domain spec,scope-aware,deny by default
order.cancel,OMS,Defined by domain spec,scope-aware,deny by default
order.override,OMS,Defined by domain spec,scope-aware,deny by default
b2b.admin,B2B,Defined by domain spec,scope-aware,deny by default
b2b.user,B2B,Defined by domain spec,scope-aware,deny by default
b2b.approver,B2B,Defined by domain spec,scope-aware,deny by default
procurement.read,PROC,Defined by domain spec,scope-aware,deny by default
procurement.request,PROC,Defined by domain spec,scope-aware,deny by default
procurement.approve,PROC,Defined by domain spec,scope-aware,deny by default
purchase_order.issue,PROC,Defined by domain spec,scope-aware,deny by default
import.manage,PROC,Defined by domain spec,scope-aware,deny by default
inventory.read,WMS,Defined by domain spec,scope-aware,deny by default
inventory.receive,WMS,Defined by domain spec,scope-aware,deny by default
inventory.transfer,WMS,Defined by domain spec,scope-aware,deny by default
inventory.pick,WMS,Defined by domain spec,scope-aware,deny by default
inventory.pack,WMS,Defined by domain spec,scope-aware,deny by default
inventory.count,WMS,Defined by domain spec,scope-aware,deny by default
inventory.adjust,WMS,Defined by domain spec,scope-aware,deny by default
inventory.adjust.approve,WMS,Defined by domain spec,scope-aware,deny by default
engineering.read,ENG,Defined by domain spec,scope-aware,deny by default
engineering.manage,ENG,Defined by domain spec,scope-aware,deny by default
engineering.release,ENG,Defined by domain spec,scope-aware,deny by default
engineering.change.approve,ENG,Defined by domain spec,scope-aware,deny by default
planning.read,PLAN,Defined by domain spec,scope-aware,deny by default
planning.forecast,PLAN,Defined by domain spec,scope-aware,deny by default
planning.mrp,PLAN,Defined by domain spec,scope-aware,deny by default
planning.schedule,PLAN,Defined by domain spec,scope-aware,deny by default
production.read,MES,Defined by domain spec,scope-aware,deny by default
production.plan,MES,Defined by domain spec,scope-aware,deny by default
production.release,MES,Defined by domain spec,scope-aware,deny by default
production.execute,MES,Defined by domain spec,scope-aware,deny by default
production.override,MES,Defined by domain spec,scope-aware,deny by default
production.scrap,MES,Defined by domain spec,scope-aware,deny by default
verification.use,VER,Defined by domain spec,scope-aware,deny by default
verification.override,VER,Defined by domain spec,scope-aware,deny by default
verification.audit,VER,Defined by domain spec,scope-aware,deny by default
quality.read,QMS,Defined by domain spec,scope-aware,deny by default
quality.inspect,QMS,Defined by domain spec,scope-aware,deny by default
quality.release,QMS,Defined by domain spec,scope-aware,deny by default
quality.ncr,QMS,Defined by domain spec,scope-aware,deny by default
quality.capa,QMS,Defined by domain spec,scope-aware,deny by default
document.read,DOC,Defined by domain spec,scope-aware,deny by default
document.issue,DOC,Defined by domain spec,scope-aware,deny by default
document.void,DOC,Defined by domain spec,scope-aware,deny by default
contract.read,DOC,Defined by domain spec,scope-aware,deny by default
contract.manage,DOC,Defined by domain spec,scope-aware,deny by default
contract.approve,DOC,Defined by domain spec,scope-aware,deny by default
finance.read,FIN,Defined by domain spec,scope-aware,deny by default
finance.cost.read,FIN,Defined by domain spec,scope-aware,deny by default
finance.invoice,FIN,Defined by domain spec,scope-aware,deny by default
finance.payment,FIN,Defined by domain spec,scope-aware,deny by default
finance.budget,FIN,Defined by domain spec,scope-aware,deny by default
finance.treasury,FIN,Defined by domain spec,scope-aware,deny by default
finance.export,FIN,Defined by domain spec,scope-aware,deny by default
analytics.read,BI,Defined by domain spec,scope-aware,deny by default
analytics.build,BI,Defined by domain spec,scope-aware,deny by default
analytics.restricted,BI,Defined by domain spec,scope-aware,deny by default
analytics.export,BI,Defined by domain spec,scope-aware,deny by default
integration.read,INT,Defined by domain spec,scope-aware,deny by default
integration.manage,INT,Defined by domain spec,scope-aware,deny by default
integration.retry,INT,Defined by domain spec,scope-aware,deny by default
integration.secrets.manage,INT,Defined by domain spec,scope-aware,deny by default
device.read,DEV,Defined by domain spec,scope-aware,deny by default
device.enroll,DEV,Defined by domain spec,scope-aware,deny by default
device.assign,DEV,Defined by domain spec,scope-aware,deny by default
device.revoke,DEV,Defined by domain spec,scope-aware,deny by default
device.support,DEV,Defined by domain spec,scope-aware,deny by default
workflow.read,WF,Defined by domain spec,scope-aware,deny by default
workflow.design,WF,Defined by domain spec,scope-aware,deny by default
workflow.publish,WF,Defined by domain spec,scope-aware,deny by default
approval.act,WF,Defined by domain spec,scope-aware,deny by default
automation.manage,WF,Defined by domain spec,scope-aware,deny by default
platform.support.impersonate,CORE,Support impersonation,tenant,step-up + audit
platform.tenant.provision,OPS,Provision tenant,platform,restricted
platform.release.manage,OPS,Release/feature assignment,platform,restricted
security.audit.read,IAM,Security audit,tenant/platform,restricted
