Izvor,Funkcija,Dokaz izvora,Nexora domen,Capability ID,Dokaz Nexora implementacije,Status backend/UI/adapter,Nedostatak,Prioritet,Kriterij prihvata
FinTrack,Troškovi (ulazne fakture) + statusi plaćanja + rokovi,App.jsx:845;2397; migracije 20260718_due_date,FIN,FIN-012 + FIN-022,domain-fin invoice/AP + invoice matching (sprintovi FIN),backend DA / UI tanak / —,UI za unos i listu troškova s rokovima i KPI dospijeća,P1,Unos fakture s rokom; lista s filterima i KPI "dospijeva 7 dana"; prilog originala
FinTrack,Prihodi po poslovnici/kategoriji,App.jsx:2576; tabela revenue,FIN,FIN-002,revenue/cost capture (FIN sprintovi),backend DA / UI tanak / —,dimenzija poslovnica+sektor u unosu prihoda; UI,P1,Prihod se knjiži po dimenzijama i vidi u P&L pregledu
FinTrack,Potraživanja/obaveze (otvorene stavke),glavna-knjiga-arhitektura.md §1,FIN,FIN-011 + FIN-031(NOVO),AR postoji; open-item clearing NE postoji,backend djelimično / UI ne / —,raspoređivanje uplata po fakturama (zatvaranje) s validacijama Σ≤uplata i Σ≤faktura,P1,Uplata se raspoređuje na više faktura; paid/remaining/status IZVEDENI; storno raspodjele
FinTrack,Dvojno knjigovodstvo — nalozi/glavna knjiga,App.jsx:4061-7800; 20260908_numeracija_naloga_po_firmi,FIN,FIN-023(NOVO),NEMA (finance boundary je dosad isključivao statutarni GL),ne / ne / —,cijeli GL podsistem: journal_entries/lines; vrste naloga; numeracija po pravnom licu; draft→pregled→proknjiži,P1,Nalog nastaje samo dozvoljenom radnjom; ravnoteža D=P obavezna; audit svake promjene
FinTrack,Kontni plan po firmi + sistemska konta + partner analitika,20260824_kontni_plan_po_firmi; partners_konto trigger,FIN,FIN-024(NOVO),NEMA,ne / ne / —,COA po pravnom licu (8 cifara); uloga→konto mapa; lijena partner-konta,P1,Konto u upotrebi se ne briše/renumeriše; partner analitika nastaje automatski u svim firmama
FinTrack,Početna stanja + zaključavanje perioda,guard_opening_date; opening_balance_dates; ledger_lock,FIN,FIN-025(NOVO),NEMA,ne / ne / —,datumi početnih stanja po pravnom licu; blokada knjiženja prije reza; lock perioda,P1,Knjiženje prije datuma PS odbijeno osim vrste PS/HISTORIJA
FinTrack,Storno mehanizam,storno_entry(); trg_guard_lines,FIN,FIN-026(NOVO),NEMA (kompenzacioni obrazac postoji u drugim domenima),ne / ne / —,zrcalni storno s vezom original↔storno; zabrana izmjene proknjiženog,P1,Proknjiženi nalog se ne mijenja; storno par se skriva na karticama
FinTrack,Kartice konta/partnera + IOS + eksterna kartica,src/lib/kartica.js + testovi; EksternaKartica.jsx,FIN,FIN-027(NOVO),NEMA,ne / ne / —,kartica s PS kumulativom; IOS print; eksterna kartica s kontrolom salda prije printa,P1,Kartica = 1 red po nalogu; eksterni print blokiran dok se salda ne slože
FinTrack,KUF/KIF + PDV evidencije i prijava,App.jsx:5733-5884;7818-7935; pdv_periods,FIN,FIN-028(NOVO),FIN-021 je samo adapter-hook,ne / ne / adapter stub (fiskal-bih),BiH lokalizacioni paket: KUF/KIF iz naloga; PDV period status; prijava zatvara konta,P1,KUF/KIF export+print; PDV 17% obračun po booking_date; status uplate po firmi+periodu
FinTrack,Bruto bilans + finansijski izvještaji + dobit,view bruto_bilans; profit_years; ReportsTab,FIN,FIN-029(NOVO) + FIN-019,operativni P&L postoji,djelimično / ne / —,GL izvještaji (bruto bilans; glavna knjiga; porez na dobit po godinama),P2,Bruto bilans po firmi i periodu jednak zbiru naloga
FinTrack,Import bankovnih izvoda (PDF vision) + dedup + arhiva,App.jsx:8910-9500; bank_statements unique,FIN+AI,FIN-030(NOVO) + AI-016(NOVO),FIN-013 hook + DevBankFeedAdapter,adapter dev / ne / AI port dev,parser izvoda (vision) iza AI porta; kontrola sume; auto-firma po prefiksu računa iz KONFIGURACIJE,P1,Duplikat izvoda odbijen; suma stavki=saldo; original PDF arhiviran; potvrda korisnika obavezna
